               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11296,            0.053024,             0.08095,            0.005226,            0.094503,           0.0039858,           0.0011053,            0.097393,            0.040076,            0.074837,              0.0865,              0.0015,              0.0015
                   1,             0.09724,             0.06541,            0.072951,            0.012764,             0.41509,            0.016489,           0.0041785,             0.07981,            0.043898,             0.06638,            0.072039,           0.0030386,           0.0030386
                   2,            0.083183,            0.067963,            0.063006,             0.25108,            0.094287,             0.03656,             0.01049,            0.074234,            0.071577,            0.054967,            0.057514,           0.0045139,           0.0045139
                   3,            0.076142,            0.057854,            0.049948,             0.45916,             0.12498,            0.044168,            0.010816,            0.076026,            0.066051,            0.047689,            0.042926,           0.0059258,           0.0059258
                   4,             0.07866,            0.054819,            0.040707,             0.30596,              0.2121,            0.096152,            0.024685,            0.075772,            0.043082,            0.039514,            0.028274,           0.0072743,           0.0072743
                   5,            0.073729,            0.047777,            0.034875,             0.33474,             0.28663,             0.12018,            0.036432,            0.077145,            0.035245,            0.030915,             0.01356,           0.0085595,           0.0085595
                   6,            0.072739,            0.051617,            0.029681,              0.3801,             0.35697,             0.25721,             0.06754,            0.069401,            0.035414,            0.025584,            0.008812,            0.008812,            0.008812
                   7,            0.069998,            0.047339,            0.025203,             0.45425,             0.43857,             0.39942,             0.14361,            0.058961,            0.031781,            0.022111,            0.008812,            0.008812,            0.008812
                   8,            0.061498,            0.052374,             0.02137,              0.3895,             0.58496,             0.38848,              0.1302,            0.067571,            0.039834,            0.017034,            0.008614,            0.008614,            0.008614
                   9,             0.06117,            0.046376,            0.017824,             0.21446,             0.57932,              0.2704,             0.10282,             0.06421,            0.031985,            0.013198,            0.008416,            0.008416,            0.008416
                  10,            0.057104,            0.045322,            0.015131,             0.36216,              0.6753,             0.43732,             0.15517,            0.067758,            0.033786,            0.010692,            0.008218,            0.008218,            0.008218
                  11,            0.057603,            0.046862,            0.013525,             0.39038,             0.68677,             0.46912,             0.16525,            0.055895,            0.030467,           0.0096796,             0.00802,             0.00802,             0.00802
                  12,            0.052345,            0.041286,            0.012276,             0.49997,             0.78406,             0.61955,             0.24449,             0.05615,            0.027639,           0.0084152,            0.007822,            0.007822,            0.007822
                  13,            0.052802,            0.047011,            0.010926,              0.5092,             0.74467,             0.66514,             0.29459,            0.048271,             0.02757,           0.0076365,            0.007624,            0.007624,            0.007624
                  14,            0.049013,            0.041137,            0.010566,             0.64584,             0.73353,             0.73196,             0.34527,            0.047136,            0.025573,           0.0075367,            0.007426,            0.007426,            0.007426
                  15,            0.047732,            0.040791,           0.0098368,             0.67501,             0.80892,             0.80138,              0.3604,            0.044471,            0.026046,            0.006891,            0.007228,            0.007228,            0.007228
                  16,            0.045357,            0.043663,           0.0087183,             0.62109,             0.79969,             0.74577,             0.33088,            0.046798,            0.025549,           0.0062128,             0.00703,             0.00703,             0.00703
                  17,            0.043899,             0.04085,           0.0077532,             0.72553,             0.84393,             0.87483,             0.45838,            0.038834,            0.023427,           0.0060081,            0.006832,            0.006832,            0.006832
                  18,            0.043205,            0.041113,           0.0076592,             0.80368,             0.85945,             0.88157,             0.45696,            0.037599,            0.023775,           0.0056599,            0.006634,            0.006634,            0.006634
                  19,            0.042607,            0.041772,           0.0073901,             0.76669,             0.87258,             0.87682,             0.41029,            0.041172,            0.023288,           0.0055323,            0.006436,            0.006436,            0.006436
                  20,            0.040863,            0.040341,            0.007399,             0.82877,             0.87634,             0.91286,             0.51291,            0.037017,            0.023977,            0.005401,            0.006238,            0.006238,            0.006238
                  21,            0.039469,            0.037352,           0.0069321,             0.79869,             0.87962,             0.88898,             0.48891,            0.035834,            0.023466,            0.005158,             0.00604,             0.00604,             0.00604
                  22,            0.038587,            0.038976,           0.0066979,             0.81051,             0.90637,             0.92314,             0.57412,            0.032743,            0.021757,           0.0050006,            0.005842,            0.005842,            0.005842
                  23,            0.038259,             0.03997,           0.0061454,             0.85162,             0.93098,             0.94626,             0.55254,            0.030128,            0.021505,           0.0048371,            0.005644,            0.005644,            0.005644
                  24,            0.036801,            0.037769,           0.0060002,             0.80627,             0.91268,             0.92623,             0.58191,            0.031387,            0.021105,           0.0047295,            0.005446,            0.005446,            0.005446
                  25,            0.036581,            0.038277,           0.0058997,             0.84695,             0.92576,             0.92811,             0.59469,             0.03065,            0.020744,           0.0045231,            0.005248,            0.005248,            0.005248
                  26,            0.036052,            0.036489,           0.0054025,             0.86744,             0.93486,              0.9498,             0.60486,            0.030685,            0.020221,           0.0044243,             0.00505,             0.00505,             0.00505
                  27,            0.035102,            0.037332,           0.0058859,             0.90245,             0.93184,             0.95793,             0.67453,            0.026185,             0.02002,           0.0043114,            0.004852,            0.004852,            0.004852
                  28,            0.033869,            0.037937,           0.0056344,             0.88186,             0.93681,             0.95175,             0.62338,            0.028193,            0.020075,            0.004219,            0.004654,            0.004654,            0.004654
                  29,            0.034122,            0.038083,           0.0049909,             0.89794,             0.92656,             0.95742,             0.64922,            0.026288,            0.019918,           0.0040619,            0.004456,            0.004456,            0.004456
                  30,            0.032824,            0.038963,           0.0050908,             0.90718,             0.94062,             0.96277,             0.66155,            0.026593,            0.020175,           0.0039141,            0.004258,            0.004258,            0.004258
                  31,            0.031876,            0.035978,           0.0047987,             0.90046,             0.94125,             0.96148,             0.67971,            0.023893,            0.019708,           0.0037583,             0.00406,             0.00406,             0.00406
                  32,            0.032089,            0.036792,           0.0045557,             0.90239,             0.94357,             0.96588,             0.67871,            0.024479,            0.019685,           0.0036202,            0.003862,            0.003862,            0.003862
                  33,             0.03221,            0.036068,           0.0046086,             0.91206,             0.95247,             0.96932,              0.6882,            0.024939,            0.019256,           0.0034986,            0.003664,            0.003664,            0.003664
                  34,             0.02998,            0.038424,           0.0041526,             0.91832,             0.93991,             0.97062,             0.68399,            0.024053,             0.01956,           0.0034087,            0.003466,            0.003466,            0.003466
                  35,             0.03082,             0.03667,           0.0045496,             0.91662,             0.94474,             0.97206,             0.70085,            0.022692,            0.018791,           0.0033947,            0.003268,            0.003268,            0.003268
                  36,            0.029687,            0.035491,           0.0039812,             0.91034,             0.94611,              0.9731,             0.70569,            0.023119,            0.018585,           0.0033169,             0.00307,             0.00307,             0.00307
                  37,            0.028827,            0.034516,           0.0045138,             0.91263,             0.94924,              0.9728,             0.70563,            0.021904,             0.01852,           0.0032171,            0.002872,            0.002872,            0.002872
                  38,            0.027897,            0.032692,           0.0043143,             0.92547,             0.95043,             0.97477,             0.72731,             0.02255,            0.017938,           0.0031264,            0.002674,            0.002674,            0.002674
                  39,            0.027636,            0.035422,           0.0042098,             0.93039,             0.94888,              0.9749,             0.72805,            0.021185,            0.018689,           0.0029982,            0.002476,            0.002476,            0.002476
                  40,            0.028611,            0.035644,           0.0041134,             0.92316,             0.94734,             0.97545,             0.72987,            0.020749,            0.018149,           0.0029784,            0.002278,            0.002278,            0.002278
                  41,            0.026839,            0.034272,           0.0034162,             0.92823,             0.95017,             0.97741,             0.73792,            0.020567,            0.017654,           0.0029257,             0.00208,             0.00208,             0.00208
                  42,            0.026071,            0.033405,           0.0035769,             0.92914,             0.95207,             0.97721,             0.73515,            0.020348,            0.017918,           0.0028329,            0.001882,            0.001882,            0.001882
                  43,            0.025681,            0.033584,           0.0036079,             0.93707,             0.94929,             0.97824,             0.74792,             0.01988,            0.017621,           0.0027672,            0.001684,            0.001684,            0.001684
                  44,             0.02632,             0.03319,           0.0035073,             0.93898,             0.94903,             0.97854,             0.74972,            0.019761,             0.01764,           0.0027141,            0.001486,            0.001486,            0.001486
                  45,             0.02612,            0.034564,           0.0036838,             0.93466,             0.95047,             0.97876,             0.75996,            0.019298,            0.018332,           0.0026366,            0.001288,            0.001288,            0.001288
                  46,            0.024709,            0.033131,            0.003409,             0.93629,             0.95731,              0.9788,             0.75454,            0.019411,            0.017854,             0.00257,             0.00109,             0.00109,             0.00109
                  47,            0.024715,             0.03375,           0.0032724,             0.92661,             0.96619,             0.97927,             0.75868,            0.019436,            0.017874,           0.0024907,            0.000892,            0.000892,            0.000892
                  48,            0.024422,            0.032241,           0.0032114,              0.9309,             0.96103,             0.98085,             0.76505,            0.018988,            0.017245,            0.002462,            0.000694,            0.000694,            0.000694
                  49,            0.024564,            0.032919,           0.0034465,             0.93235,             0.95898,             0.98137,              0.7683,            0.018998,            0.017182,           0.0024212,            0.000496,            0.000496,            0.000496
